('ho', 'ra'): 38
('ra', 'san'): 40
('san', 'wtspc'): 912
('i', 'ran'): 88
('ran', 'da'): 70
('wtspc', 'har'): 169
('har', 'zem'): 8
('zem', 'sah'): 6
('sah', 'lar'): 11
('lar', 'wtspc'): 4475
('i', 'le'): 3116
('le', 'wtspc'): 7146
('wtspc', 'kaf'): 21
('kaf', 'kas'): 20
('kas', 'ya'): 10
('wtspc', 'gur'): 46
('gur', 'cu'): 16
('cu', 'ler'): 13
('ler', 'wtspc'): 4233
('wtspc', 'des'): 289
('des', 'ti'): 3
('wtspc', 'kip'): 6
('kip', 'cak'): 5
('cak', 'ta'): 6
('ta', 'ki'): 567
('wtspc', 'rus'): 159
('rus', 'wtspc'): 158
('k', 'nez'): 6
('nez', 'lik'): 1
('lik', 'le'): 944
('cak', 'lar'): 25
('i', 'dil'): 5
('dil', 'wtspc'): 481
('wtspc', 'bul'): 227
('bul', 'gar'): 13
('gar', 'la'): 10
('la', 'ri'): 6323
('u', 'ze'): 1202
('ze', 'ri'): 437
('ri', 'ne'): 1341
('wtspc', 'ger'): 550
('ger', 'cek'): 501
('cek', 'les'): 257
('ti', 'ri'): 485
('ri', 'len'): 356
('wtspc', 'se'): 2830
('se', 'fer'): 64
('fer', 'ler'): 12
('wtspc', 'so'): 1782
('so', 'nu'): 486
('nu', 'cun'): 177
('cun', 'da'): 188
('wtspc', 'pa'): 776
('pa', 'si'): 187
('si', 'fik'): 18
('fik', 'wtspc'): 102
('wtspc', 'ok'): 185
('ok', 'ya'): 64
('ya', 'nu'): 34
('nu', 'sun'): 168
('sun', 'dan'): 34
('ha', 'zar'): 19
('zar', 'wtspc'): 146
('de', 'ni'): 346
('ni', 'zi'): 62
('zi', 'ne'): 62
('ra', 'de'): 97
('ni', 'zin'): 38
('zin', 'wtspc'): 268
('ku', 'ze'): 71
('ze', 'yi'): 83
('yi', 'ne'): 254
('ka', 'dar'): 796
('u', 'za'): 117
('za', 'nan'): 96
('nan', 'wtspc'): 1338
('wtspc', 'im'): 319
('im', 'pa'): 112
('tor', 'luk'): 46
('luk', 'wtspc'): 518
('wtspc', 'kur'): 533
('kur', 'du'): 120
('du', 'endsntnc'): 1379
('endsntnc', 'boz'): 1
('ge', 'le'): 559
('le', 'ne'): 276
('ne', 'gin'): 262
('gin', 'den'): 118
('den', 'wtspc'): 4149
('ge', 'len'): 376
('wtspc', 'on'): 1212
('on', 'lu'): 3
('lu', 'wtspc'): 1894
('wtspc', 'tes'): 255
('tes', 'ki'): 35
('ki', 'la'): 145
('la', 'ti'): 121
('wtspc', 'kul'): 2027
('kul', 'la'): 1492
('la', 'na'): 436
('na', 'rak'): 251
('wtspc', 'me'): 924
('me', 'ri'): 372
('ri', 'tok'): 1
('tok', 'ra'): 6
('ra', 'tik'): 105
('tik', 'wtspc'): 1186
('wtspc', 'li'): 734
('li', 'ya'): 34
('ya', 'ka'): 87
('ka', 'ta'): 41
('wtspc', 'bag'): 579
('bag', 'li'): 276
('li', 'wtspc'): 7966
('or', 'du'): 268
('du', 'wtspc'): 411
('wtspc', 'mey'): 234
('mey', 'da'): 174
('da', 'na'): 190
('na', 'wtspc'): 4912
('ge', 'ti'): 255
('ti', 'ren'): 124
('ren', 'wtspc'): 794
('ha', 'nin'): 129
('as', 'ker'): 181
('ker', 'wtspc'): 168
('wtspc', 'un'): 370
('un', 'wtspc'): 51
('ka', 'zan'): 337
('zan', 'ma'): 53
('ma', 'si'): 2516
('si', 'nin'): 1442
('te', 'me'): 147
('me', 'lin'): 20
('lin', 'de'): 524
('du', 'gu'): 1613
('gu', 'wtspc'): 2275
('wtspc', 'pos'): 33
('pos', 'ta'): 115
('ca', 'sus'): 10
('sus', 'wtspc'): 30
('a', 'gi'): 33
('wtspc', 'is'): 1940
('is', 'tih'): 24
('tih', 'ba'): 11
('ba', 'rat'): 10
('rat', 'wtspc'): 117
('wtspc', 'sa'): 4505
('sa', 'na'): 213
('na', 'ti'): 63
('ti', 'na'): 202
('wtspc', 'ver'): 642
('ver', 'di'): 233
('di', 'gi'): 2062
('de', 'ger'): 256
('ger', 'wtspc'): 1106
('o', 'nem'): 752
('nem', 'li'): 692
('wtspc', 'yer'): 1333
('yer', 'wtspc'): 810
('wtspc', 'tu'): 936
('tu', 'tar'): 47
('tar', 'endsntnc'): 39
('bgnsntnc', 'se'): 105
('fer', 'le'): 19
('wtspc', 'pek'): 194
('pek', 'wtspc'): 226
('wtspc', 'cok'): 1200
('cok', 'wtspc'): 1689
('se', 'hir'): 252
('wtspc', 'tah'): 188
('tah', 'rip'): 21
('rip', 'wtspc'): 87
('wtspc', 'ol'): 4481
('ol', 'mus'): 552
('mus', 'wtspc'): 476
('wtspc', 'mil'): 598
('mil', 'yon'): 176
('yon', 'lar'): 131
('lar', 'ca'): 81
('wtspc', 'in'): 1634
('in', 'san'): 518
('wtspc', 'kat'): 272
('kat', 'le'): 14
('le', 'dil'): 8
('dil', 'mis'): 250
('mis', 'ti'): 361
('an', 'cak'): 634
('cak', 'wtspc'): 1206
('ya', 'sa'): 1044
('sa', 'si'): 121
('a', 'di'): 536
('me', 'tin'): 105
('tin', 'les'): 2
('ku', 'ral'): 170
('ral', 'lar'): 42
('is', 'ken'): 8
('ken', 'ce'): 9
('ce', 'yi'): 28
('yi', 'wtspc'): 2101
('ya', 'sak'): 73
('sak', 'la'): 58
('la', 'yip'): 45
('yip', 'wtspc'): 140
('wtspc', 'za'): 1241
('za', 'n'): 12
('n', 'aat'): 13
('aat', 'kar'): 5
('kar', 'lar'): 15
('wtspc', 'dok'): 64
('dok', 'tor'): 26
('tor', 'lar'): 15
('wtspc', 'bel'): 398
('bel', 'li'): 108
('wtspc', 'bil'): 890
('bil', 'gi'): 826
('wtspc', 'be'): 2009
('be', 'ce'): 24
('ce', 'ri'): 291
('ri', 'si'): 697
('o', 'lan'): 2119
('lan', 'wtspc'): 4342
('e', 'gi'): 369
('gi', 'tim'): 222
('tim', 'li'): 22
('wtspc', 'ki'): 2285
('ki', 'si'): 940
('si', 'ler'): 115
('wtspc', 'her'): 828
('her', 'wtspc'): 797
('wtspc', 'din'): 226
('din', 'den'): 15
('din', 'wtspc'): 410
('a', 'dam'): 81
('dam', 'la'): 57
('ri', 'na'): 732
('han', 'gi'): 220
('mil', 'let'): 236
('let', 'ten'): 11
('ten', 'wtspc'): 652
('o', 'lur'): 220
('lur', 'sa'): 28
('sa', 'wtspc'): 1487
('ol', 'sun'): 31
('sun', 'wtspc'): 279
('ra', 'la'): 252
('rin', 'da'): 1156
('wtspc', 'ay'): 1606
('ay', 'rim'): 26
('rim', 'wtspc'): 484
('ya', 'pil'): 358
('pil', 'mak'): 48
('mak', 'si'): 34
('si', 'zin'): 33
('wtspc', 'say'): 121
('say', 'gi'): 32
('wtspc', 'gos'): 717
('gos', 'te'): 427
('te', 'ril'): 67
('ril', 'me'): 298
('me', 'si'): 1698
('ver', 'gi'): 51
('gi', 'den'): 52
('wtspc', 'm'): 390
('m', 'uaf'): 10
('uaf', 'wtspc'): 9
('tu', 'tul'): 41
('tul', 'ma'): 33
('ma', 'la'): 771
('ka', 'nun'): 78
('nun', 'las'): 2
('las', 'tir'): 79
('tir', 'mis'): 193
('mis', 'tir'): 3562
('tir', 'wtspc'): 352
('wtspc', 'hal'): 278
('hal', 'ki'): 77
('ki', 'nin'): 117
('ya', 'zi'): 671
('zi', 'ya'): 137
('sa', 'hip'): 618
('hip', 'wtspc'): 337
('ol', 'ma'): 1098
('si', 'ni'): 1684
('wtspc', 'sag'): 794
('sag', 'la'): 419
('la', 'mak'): 277
('mak', 'wtspc'): 1121
('i', 'cin'): 2552
('wtspc', 'uy'): 738
('uy', 'gur'): 72
('gur', 'lar'): 16
('lar', 'dan'): 574
('wtspc', 'bah'): 115
('bah', 'si'): 4
('si', 'la'): 173
('wtspc', 'bas'): 2739
('bas', 'ken'): 49
('ken', 'ti'): 82
('ra', 'ku'): 14
('ru', 'ma'): 105
('ma', 'wtspc'): 2846
('ca', 'gir'): 11
('gir', 'mis'): 56
('mis', 'wtspc'): 2074
('gur', 'wtspc'): 138
('al', 'fa'): 100
('fa', 'be'): 81
('be', 'si'): 156
('u', 'yar'): 43
('yar', 'la'): 65
('la', 'ta'): 232
('ta', 'rak'): 48
('bu', 'nu'): 133
('nu', 'wtspc'): 2146
('wtspc', 'co'): 861
('co', 'cuk'): 208
('cuk', 'la'): 83
('wtspc', 'og'): 538
('og', 'ret'): 53
('ret', 'me'): 47
('is', 'te'): 259
('te', 'mis'): 11
('tir', 'endsntnc'): 4029
('endsntnc', 'wtspc'): 1545
('wtspc', 'yi'): 2247
('lin', 'da'): 1470
('wtspc', 'tan'): 215
('tan', 'gut'): 22
('gut', 'lar'): 5
('wtspc', 'cik'): 395
('cik', 'ti'): 143
('ti', 'gi'): 909
('fer', 'wtspc'): 93
('wtspc', 'es'): 858
('es', 'na'): 50
('na', 'sin'): 92
('wtspc', 'ra'): 390
('ra', 'hat'): 54
('hat', 'siz'): 27
('siz', 'la'): 10
('ha', 'ya'): 199
('ya', 'ti'): 262
('ti', 'ni'): 242
('wtspc', 'kay'): 834
('kay', 'bet'): 118
('bet', 'ti'): 63
('ti', 'endsntnc'): 1527
('bgnsntnc', 'kur'): 19
('kur', 'mus'): 55
('ol', 'du'): 1659
('wtspc', 'gu'): 1457
