('la', 'di'): 0.024950929837985296
('di', 'endsntnc'): 0.2608637696614236
('bgnsntnc', 'dun'): 0.006644518272425249
('dun', 'ya'): 0.8920922570016474
('wtspc', 'ta'): 0.01631870764597166
('ta', 'ri'): 0.06571323799046572
('ri', 'hi'): 0.010888252148997135
('hi', 'nin'): 0.04601006470165349
('nin', 'wtspc'): 0.9394983725828068
('wtspc', 'en'): 0.005489766582243823
('en', 'wtspc'): 0.7706679121905652
('wtspc', 'bu'): 0.0182900951468273
('bu', 'yuk'): 0.13036550144407927
('yuk', 'wtspc'): 0.5986020968547179
('as', 'ke'): 0.15971223021582734
('ke', 'ri'): 0.030035822540644807
('ri', 'wtspc'): 0.4313548915268113
('de', 'ha'): 0.0001884570082449941
('ha', 'la'): 0.02259580621836587
('la', 'rin'): 0.11680361954822183
('rin', 'dan'): 0.05290753098188751
('dan', 'wtspc'): 0.9726230114687384
('wtspc', 'bi'): 0.010968581011705114
('bi', 'ri'): 0.08321612751992499
('o', 'la'): 0.2721872816212439
('la', 'rak'): 0.1165707442030673
('rak', 'wtspc'): 0.8941321296676241
('ka', 'bul'): 0.041271393643031784
('bul', 'wtspc'): 0.6633663366336634
('wtspc', 'e'): 0.016765007871859812
('e', 'di'): 0.11048115231382163
('di', 'len'): 0.01859504132231405
('len', 'wtspc'): 0.5440281780339418
('wtspc', 'cen'): 0.0006598672051475118
('dar', 'li'): 0.02432179607109448
('do', 'ne'): 0.1439180537772087
('ne', 'min'): 0.03631051752921536
('min', 'de'): 0.2862394957983193
('de', 'wtspc'): 0.6088103651354535
('a', 'ra'): 0.1394865174985657
('ra', 'sin'): 0.1028462441314554
('ku', 'zey'): 0.059996013553916684
('zey', 'wtspc'): 0.502
('wtspc', 'cin'): 0.0006379628995824492
('cin', 'de'): 0.19397668393782383
('de', 'ki'): 0.06058892815076561
('ba', 'ti'): 0.08196086029839178
('ti', 'wtspc'): 0.16646054909720504
('wtspc', 'x'): 0.0003942775001711274
('x', 'ia'): 0.03680981595092025
('ia', 'wtspc'): 0.5433333333333333
('wtspc', 'jin'): 9.035526045588335e-05
('jin', 'wtspc'): 0.7346938775510204
('ha', 'ne'): 0.03506869125090383
